transaction_id,customer_id,product_id,site_id,occurred_at,quantity,amount,channel
TXN-000000023,CUST-00535,PROD-0087,SITE-005,2025-10-03T15:14:41Z,16,3703.2,field-sales
TXN-000000024,CUST-00669,PROD-0070,SITE-014,2025-12-14T11:08:42Z,39,10430.94,retail
TXN-000000025,CUST-00434,PROD-0052,SITE-004,2025-11-12T10:39:56Z,8,638.24,online
TXN-000000026,CUST-00247,PROD-0058,SITE-012,2026-04-02T05:09:00Z,26,6048.64,distributor
TXN-000000027,CUST-00076,PROD-0077,SITE-005,2026-03-21T04:20:13Z,27,3037.77,field-sales
TXN-000000028,CUST-00362,PROD-0010,SITE-002,2025-03-10T06:20:35Z,37,7873.97,online
TXN-000000029,CUST-00047,PROD-0113,SITE-006,2025-09-14T08:54:35Z,14,4499.18,online
TXN-000000030,CUST-00158,PROD-0084,SITE-013,2024-06-10T18:24:29Z,35,4264.05,field-sales
TXN-000000031,CUST-00164,PROD-0025,SITE-005,2025-12-26T19:01:33Z,13,3704.48,online
TXN-000000032,CUST-00497,PROD-0113,SITE-013,2024-11-04T10:19:39Z,21,3179.61,online
TXN-000000033,CUST-00742,PROD-0063,SITE-009,2025-08-25T14:06:49Z,32,10747.84,online
TXN-000000034,CUST-00551,PROD-0065,SITE-004,2026-07-28T19:43:25Z,32,3708.16,retail
TXN-000000035,CUST-00406,PROD-0018,SITE-013,2025-10-05T18:12:47Z,25,1814.25,online
TXN-000000036,CUST-00239,PROD-0080,SITE-005,2025-11-04T02:02:43Z,32,10107.52,online
TXN-000000037,CUST-00156,PROD-0110,SITE-005,2025-12-19T18:24:47Z,1,57.65,field-sales
TXN-000000038,CUST-00630,PROD-0001,SITE-008,2024-10-31T14:29:05Z,23,4280.07,distributor
TXN-000000039,CUST-00751,PROD-0092,SITE-014,2025-04-25T16:17:36Z,20,7587.2,distributor
TXN-000000040,CUST-00234,PROD-0114,SITE-014,2026-07-28T18:08:07Z,7,1224.37,retail
TXN-000000041,CUST-00536,PROD-0076,SITE-013,2024-09-19T17:05:12Z,8,1899.84,distributor
TXN-000000042,CUST-00181,PROD-0096,SITE-014,2025-11-20T12:02:15Z,34,4738.24,field-sales
TXN-000000043,CUST-00498,PROD-0102,SITE-003,2026-08-11T03:13:50Z,11,2565.86,online
TXN-000000044,CUST-00456,PROD-0115,SITE-015,2026-03-21T20:11:58Z,21,2990.4,online
TXN-000000045,CUST-00542,PROD-0043,SITE-009,2026-07-19T17:06:04Z,34,10188.78,retail
TXN-000000046,CUST-00562,PROD-0115,SITE-011,2025-02-17T08:45:47Z,24,1806.48,online
TXN-000000047,CUST-00466,PROD-0056,SITE-011,2026-07-24T14:04:44Z,24,4027.44,online
TXN-000000048,CUST-00676,PROD-0113,SITE-004,2025-04-16T19:03:48Z,8,1072.64,distributor
TXN-000000049,CUST-00420,PROD-0119,SITE-010,2026-02-12T05:08:46Z,7,1297.73,online
TXN-000000050,CUST-00721,PROD-0098,SITE-005,2025-08-01T22:42:45Z,9,3508.02,retail
TXN-000000051,CUST-00398,PROD-0097,SITE-009,2025-11-03T09:05:42Z,26,2945.02,distributor
TXN-000000052,CUST-00684,PROD-0047,SITE-002,2025-03-21T23:28:59Z,18,3088.26,retail
TXN-000000053,CUST-00004,PROD-0016,SITE-015,2025-04-08T08:13:15Z,9,306.45,distributor
TXN-000000054,CUST-00116,PROD-0081,SITE-003,2025-01-26T09:58:08Z,15,1337.7,field-sales
TXN-000000055,CUST-00744,PROD-0096,SITE-012,2026-07-10T17:02:26Z,35,1053.85,distributor
TXN-000000056,CUST-00583,PROD-0087,SITE-015,2026-06-26T13:54:57Z,3,866.1,field-sales
TXN-000000057,CUST-00562,PROD-0052,SITE-015,2025-01-26T16:55:27Z,10,2850.4,distributor
TXN-000000058,CUST-00331,PROD-0115,SITE-006,2026-07-27T18:25:09Z,19,6545.12,distributor
TXN-000000059,CUST-00716,PROD-0099,SITE-009,2025-09-06T05:29:28Z,1,95.9,distributor
TXN-000000060,CUST-00794,PROD-0017,SITE-005,2025-07-04T10:20:20Z,23,1187.95,field-sales
TXN-000000061,CUST-00436,PROD-0056,SITE-012,2025-10-25T00:14:05Z,38,1273,online
TXN-000000062,CUST-00347,PROD-0021,SITE-003,2026-08-21T13:49:53Z,9,1178.73,online
TXN-000000063,CUST-00095,PROD-0082,SITE-001,2025-09-29T21:31:09Z,19,5118.79,distributor
TXN-000000064,CUST-00014,PROD-0061,SITE-001,2026-05-04T01:37:39Z,2,761.12,field-sales
TXN-000000065,CUST-00428,PROD-0062,SITE-003,2026-06-28T13:59:44Z,27,4327.83,field-sales
TXN-000000066,CUST-00101,PROD-0020,SITE-015,2025-01-19T09:08:56Z,19,4276.71,retail
TXN-000000067,CUST-00506,PROD-0006,SITE-010,2025-10-17T23:02:16Z,40,3876,distributor
TXN-000000068,CUST-00704,PROD-0088,SITE-009,2026-01-10T22:51:20Z,30,1920.9,online
TXN-000000069,CUST-00107,PROD-0102,SITE-010,2025-12-24T18:06:17Z,4,1149.92,distributor
TXN-000000070,CUST-00420,PROD-0080,SITE-015,2025-08-23T23:32:46Z,36,13022.28,distributor
TXN-000000071,CUST-00708,PROD-0082,SITE-012,2025-10-05T10:11:29Z,19,1398.21,retail
TXN-000000072,CUST-00296,PROD-0051,SITE-004,2025-12-02T21:58:51Z,15,385.95,retail
TXN-000000073,CUST-00265,PROD-0079,SITE-003,2025-11-11T04:22:04Z,27,1237.41,retail
TXN-000000074,CUST-00550,PROD-0111,SITE-002,2025-01-01T20:10:55Z,25,4805,online
TXN-000000075,CUST-00231,PROD-0049,SITE-008,2024-04-24T09:22:59Z,16,4495.04,online
TXN-000000076,CUST-00362,PROD-0062,SITE-003,2026-08-07T17:40:20Z,23,4702.81,retail
TXN-000000077,CUST-00136,PROD-0068,SITE-002,2025-05-15T13:48:46Z,27,4264.65,distributor
TXN-000000078,CUST-00170,PROD-0013,SITE-002,2026-03-14T23:52:34Z,30,4399.2,online
TXN-000000079,CUST-00455,PROD-0093,SITE-009,2025-12-03T06:35:14Z,23,7771.01,online
TXN-000000080,CUST-00542,PROD-0087,SITE-005,2024-12-18T02:41:36Z,28,8825.6,online
TXN-000000081,CUST-00539,PROD-0014,SITE-008,2024-04-03T08:56:31Z,22,7974.56,field-sales
TXN-000000082,CUST-00777,PROD-0009,SITE-001,2026-08-10T02:52:14Z,16,3575.68,online
TXN-000000083,CUST-00515,PROD-0094,SITE-008,2025-09-28T20:46:59Z,3,1095.99,online
TXN-000000084,CUST-00078,PROD-0088,SITE-002,2025-01-22T05:57:48Z,2,628.28,online
TXN-000000085,CUST-00061,PROD-0021,SITE-010,2025-04-24T18:08:09Z,7,1796.27,retail
TXN-000000086,CUST-00401,PROD-0065,SITE-004,2025-03-13T10:04:27Z,33,13192.08,online
TXN-000000087,CUST-00644,PROD-0022,SITE-011,2024-11-21T04:58:42Z,25,6546.75,retail
TXN-000000088,CUST-00106,PROD-0102,SITE-012,2026-03-21T15:26:43Z,6,453.72,field-sales
TXN-000000089,CUST-00502,PROD-0090,SITE-015,2025-03-02T05:58:30Z,37,10527.24,online
TXN-000000090,CUST-00659,PROD-0033,SITE-011,2026-06-05T23:56:25Z,2,778.18,retail
TXN-000000091,CUST-00407,PROD-0110,SITE-006,2026-04-03T21:51:39Z,13,3766.75,retail
TXN-000000092,CUST-00132,PROD-0046,SITE-005,2025-11-29T16:13:07Z,39,1248.78,retail
TXN-000000093,CUST-00188,PROD-0084,SITE-006,2026-04-02T04:39:15Z,36,2981.52,distributor
TXN-000000094,CUST-00796,PROD-0105,SITE-001,2024-06-02T12:15:19Z,27,1486.62,online
TXN-000000095,CUST-00075,PROD-0043,SITE-015,2025-01-05T19:35:13Z,21,4428.06,retail
TXN-000000096,CUST-00063,PROD-0049,SITE-009,2025-05-23T16:06:35Z,18,320.94,retail
TXN-000000097,CUST-00343,PROD-0043,SITE-010,2025-07-27T01:33:35Z,40,2590,retail
TXN-000000098,CUST-00105,PROD-0063,SITE-006,2026-08-17T23:57:54Z,4,905.36,retail
TXN-000000099,CUST-00374,PROD-0021,SITE-015,2026-02-24T22:50:56Z,15,2104.5,distributor
TXN-000000100,CUST-00577,PROD-0103,SITE-003,2024-07-13T09:57:36Z,15,4231.65,field-sales
TXN-000000101,CUST-00143,PROD-0088,SITE-005,2025-10-16T16:45:33Z,27,8322.21,field-sales
TXN-000000102,CUST-00457,PROD-0030,SITE-009,2026-01-18T08:29:16Z,1,310.5,retail
TXN-000000103,CUST-00183,PROD-0103,SITE-004,2026-06-03T23:25:15Z,25,1546.75,retail
TXN-000000104,CUST-00342,PROD-0084,SITE-010,2024-06-15T17:27:49Z,28,8529.92,online
TXN-000000105,CUST-00602,PROD-0031,SITE-014,2025-11-02T16:34:44Z,39,14665.56,retail
TXN-000000106,CUST-00195,PROD-0062,SITE-005,2024-12-16T15:49:24Z,20,6323.2,online
TXN-000000107,CUST-00054,PROD-0074,SITE-001,2026-06-14T22:31:12Z,23,6288.43,online
TXN-000000108,CUST-00090,PROD-0119,SITE-011,2026-08-08T18:29:27Z,38,14319.92,field-sales
TXN-000000109,CUST-00002,PROD-0116,SITE-010,2025-02-13T20:31:45Z,12,2295.36,online
TXN-000000110,CUST-00657,PROD-0042,SITE-002,2025-12-29T11:11:08Z,28,5012,retail
TXN-000000111,CUST-00307,PROD-0068,SITE-007,2024-12-30T07:02:44Z,14,647.22,retail
TXN-000000112,CUST-00572,PROD-0007,SITE-003,2025-01-22T10:54:07Z,9,3291.66,online
TXN-000000113,CUST-00138,PROD-0012,SITE-005,2026-08-03T00:22:04Z,29,6003.87,online
TXN-000000114,CUST-00655,PROD-0108,SITE-009,2026-08-09T12:23:27Z,18,6182.1,distributor
TXN-000000115,CUST-00001,PROD-0063,SITE-006,2025-07-03T23:11:47Z,21,3148.53,online
TXN-000000116,CUST-00274,PROD-0070,SITE-007,2026-01-17T14:09:58Z,33,6105.33,retail
TXN-000000117,CUST-00260,PROD-0111,SITE-011,2024-07-01T14:04:16Z,8,813.44,field-sales
TXN-000000118,CUST-00640,PROD-0036,SITE-001,2026-08-18T15:27:26Z,4,698.12,online
TXN-000000119,CUST-00665,PROD-0081,SITE-010,2026-02-15T18:11:11Z,14,766.64,online
TXN-000000120,CUST-00706,PROD-0071,SITE-013,2026-08-29T17:32:42Z,19,3965.68,online
TXN-000000121,CUST-00354,PROD-0084,SITE-004,2026-05-09T18:23:39Z,31,2717.77,field-sales
TXN-000000122,CUST-00733,PROD-0073,SITE-007,2026-04-27T11:03:32Z,1,17.16,field-sales
TXN-000000123,CUST-00537,PROD-0004,SITE-003,2026-01-02T20:26:25Z,24,3497.52,retail
TXN-000000124,CUST-00481,PROD-0096,SITE-003,2026-03-27T18:28:27Z,39,2631.72,retail
TXN-000000125,CUST-00573,PROD-0031,SITE-005,2026-08-29T19:54:44Z,33,1604.13,distributor
TXN-000000126,CUST-00705,PROD-0038,SITE-013,2024-09-13T02:18:43Z,21,1964.97,distributor
TXN-000000127,CUST-00384,PROD-0039,SITE-015,2025-08-20T07:51:48Z,18,2284.2,retail
TXN-000000128,CUST-00458,PROD-0013,SITE-003,2024-12-25T21:04:00Z,39,7135.44,retail
TXN-000000129,CUST-00580,PROD-0108,SITE-009,2026-01-22T11:17:10Z,13,2816.58,distributor
TXN-000000130,CUST-00592,PROD-0099,SITE-001,2026-05-28T16:32:16Z,33,878.79,retail
TXN-000000131,CUST-00714,PROD-0067,SITE-011,2026-04-06T12:58:34Z,19,433.77,online
TXN-000000132,CUST-00332,PROD-0100,SITE-002,2025-02-13T05:45:06Z,11,2397.45,online
TXN-000000133,CUST-00620,PROD-0034,SITE-005,2026-07-24T01:48:55Z,36,5575.32,field-sales
TXN-000000134,CUST-00011,PROD-0054,SITE-013,2024-09-28T18:11:08Z,32,5328,distributor
TXN-000000135,CUST-00064,PROD-0108,SITE-002,2025-11-11T13:46:15Z,10,2947.6,retail
TXN-000000136,CUST-00052,PROD-0118,SITE-012,2026-06-02T05:53:47Z,32,4014.08,field-sales
TXN-000000137,CUST-00580,PROD-0074,SITE-007,2026-05-29T13:18:33Z,37,11491.83,field-sales
TXN-000000138,CUST-00447,PROD-0117,SITE-007,2026-02-22T12:53:58Z,16,3423.68,retail
TXN-000000139,CUST-00666,PROD-0085,SITE-006,2026-05-27T03:15:57Z,12,191.76,retail
TXN-000000140,CUST-00046,PROD-0089,SITE-002,2025-02-08T22:30:16Z,2,219.1,retail
TXN-000000141,CUST-00623,PROD-0090,SITE-001,2026-02-22T09:39:32Z,39,9382.62,field-sales
TXN-000000142,CUST-00411,PROD-0005,SITE-007,2025-10-18T17:04:56Z,13,5003.96,distributor
TXN-000000143,CUST-00005,PROD-0024,SITE-009,2024-08-16T01:56:15Z,14,4106.2,distributor
TXN-000000144,CUST-00080,PROD-0107,SITE-010,2025-06-28T22:06:58Z,16,2949.6,distributor
TXN-000000145,CUST-00161,PROD-0048,SITE-005,2024-09-24T00:39:22Z,8,409.36,field-sales
TXN-000000146,CUST-00800,PROD-0040,SITE-010,2025-08-20T22:49:42Z,3,1014.93,field-sales
TXN-000000147,CUST-00493,PROD-0080,SITE-009,2025-10-04T14:26:21Z,18,1045.44,retail
TXN-000000148,CUST-00131,PROD-0001,SITE-012,2026-07-17T09:44:10Z,8,581.36,online
TXN-000000149,CUST-00271,PROD-0107,SITE-014,2025-02-28T08:08:59Z,33,11199.54,online
TXN-000000150,CUST-00595,PROD-0111,SITE-007,2026-02-08T04:47:44Z,5,1861.65,distributor
TXN-000000151,CUST-00319,PROD-0025,SITE-006,2024-05-10T04:43:17Z,38,14615.56,field-sales
TXN-000000152,CUST-00299,PROD-0097,SITE-006,2024-06-21T08:38:48Z,7,2080.89,distributor
TXN-000000153,CUST-00573,PROD-0100,SITE-003,2025-11-06T12:31:56Z,1,317.35,retail
TXN-000000154,CUST-00073,PROD-0074,SITE-002,2026-07-03T12:14:30Z,37,8718.68,online
TXN-000000155,CUST-00465,PROD-0031,SITE-015,2025-03-21T09:09:18Z,39,6316.44,online
TXN-000000156,CUST-00780,PROD-0012,SITE-009,2024-09-08T14:49:56Z,5,1161.45,distributor
TXN-000000157,CUST-00469,PROD-0087,SITE-015,2024-11-21T08:46:58Z,23,4777.33,distributor
TXN-000000158,CUST-00046,PROD-0053,SITE-001,2026-08-16T09:11:29Z,24,8941.68,distributor
TXN-000000159,CUST-00480,PROD-0017,SITE-005,2026-05-21T07:20:50Z,28,8826.44,online
TXN-000000160,CUST-00684,PROD-0041,SITE-008,2026-02-19T03:06:15Z,25,6392.25,field-sales
TXN-000000161,CUST-00502,PROD-0096,SITE-004,2024-07-04T16:45:32Z,25,2128.5,online
TXN-000000162,CUST-00693,PROD-0094,SITE-010,2025-08-09T22:14:29Z,37,4895.47,retail
TXN-000000163,CUST-00251,PROD-0053,SITE-011,2025-02-27T15:39:30Z,38,1759.78,distributor
TXN-000000164,CUST-00066,PROD-0007,SITE-004,2024-12-11T16:10:56Z,13,268.06,online
TXN-000000165,CUST-00565,PROD-0105,SITE-014,2026-05-26T04:34:21Z,15,2924.4,online
TXN-000000166,CUST-00119,PROD-0011,SITE-013,2025-08-01T08:17:35Z,34,12920,distributor
TXN-000000167,CUST-00497,PROD-0052,SITE-009,2026-04-04T12:22:44Z,7,2114,retail
TXN-000000168,CUST-00590,PROD-0114,SITE-008,2026-08-01T06:45:51Z,39,13111.41,online
TXN-000000169,CUST-00465,PROD-0064,SITE-005,2026-03-13T01:30:19Z,30,3486.3,online
TXN-000000170,CUST-00663,PROD-0036,SITE-011,2024-09-09T20:52:32Z,11,766.48,distributor
TXN-000000171,CUST-00357,PROD-0029,SITE-013,2025-02-17T20:23:24Z,23,7370.81,online
TXN-000000172,CUST-00393,PROD-0101,SITE-006,2024-07-03T20:43:44Z,40,5251.2,retail
TXN-000000173,CUST-00482,PROD-0002,SITE-003,2025-05-23T16:39:02Z,24,8383.2,distributor
TXN-000000174,CUST-00793,PROD-0018,SITE-004,2026-04-23T13:20:16Z,39,1542.06,online
TXN-000000175,CUST-00111,PROD-0080,SITE-011,2025-04-17T23:50:03Z,28,3353.56,distributor
TXN-000000176,CUST-00225,PROD-0004,SITE-006,2025-09-25T03:10:24Z,28,5336.52,field-sales
TXN-000000177,CUST-00578,PROD-0020,SITE-011,2025-05-12T17:38:19Z,8,1288.08,field-sales
TXN-000000178,CUST-00681,PROD-0063,SITE-013,2025-03-31T04:56:06Z,7,555.24,online
TXN-000000179,CUST-00475,PROD-0017,SITE-006,2025-08-25T01:36:03Z,8,2910.24,online
TXN-000000180,CUST-00354,PROD-0034,SITE-010,2026-05-15T20:35:48Z,37,1050.43,retail
TXN-000000181,CUST-00316,PROD-0108,SITE-005,2026-05-29T06:01:58Z,36,1517.76,distributor
TXN-000000182,CUST-00148,PROD-0093,SITE-013,2026-01-22T14:17:16Z,17,4850.95,retail
TXN-000000183,CUST-00535,PROD-0041,SITE-009,2025-12-02T13:59:23Z,18,6053.76,field-sales
TXN-000000184,CUST-00570,PROD-0029,SITE-002,2024-07-30T04:47:59Z,39,5285.28,retail
TXN-000000185,CUST-00487,PROD-0022,SITE-007,2026-01-15T02:52:31Z,19,710.03,online
TXN-000000186,CUST-00281,PROD-0004,SITE-005,2025-08-26T20:52:41Z,26,374.14,retail
TXN-000000187,CUST-00300,PROD-0120,SITE-011,2025-03-13T21:07:57Z,31,9114.31,retail
TXN-000000188,CUST-00196,PROD-0014,SITE-011,2025-06-09T23:04:31Z,18,4834.8,field-sales
TXN-000000189,CUST-00540,PROD-0013,SITE-005,2025-07-07T11:45:31Z,39,971.88,online
TXN-000000190,CUST-00727,PROD-0011,SITE-001,2026-07-02T02:48:38Z,20,5152.8,online
TXN-000000191,CUST-00724,PROD-0119,SITE-006,2026-03-23T04:54:29Z,9,100.8,retail
TXN-000000192,CUST-00495,PROD-0028,SITE-014,2026-06-02T05:26:26Z,6,1050.66,distributor
TXN-000000193,CUST-00289,PROD-0057,SITE-015,2024-09-18T20:40:51Z,33,5481.3,field-sales
TXN-000000194,CUST-00745,PROD-0055,SITE-005,2024-09-28T15:14:27Z,34,12271.28,retail
TXN-000000195,CUST-00389,PROD-0001,SITE-005,2024-12-28T00:49:13Z,33,2820.18,field-sales
TXN-000000196,CUST-00578,PROD-0042,SITE-014,2024-11-16T22:05:28Z,10,2686.8,retail
TXN-000000197,CUST-00613,PROD-0067,SITE-009,2025-12-06T22:37:27Z,3,272.94,online
TXN-000000198,CUST-00598,PROD-0096,SITE-003,2024-09-05T03:50:19Z,16,2205.92,distributor
TXN-000000199,CUST-00029,PROD-0016,SITE-006,2026-07-06T01:37:37Z,40,5432.8,retail
TXN-000000200,CUST-00256,PROD-0002,SITE-014,2025-04-30T04:53:18Z,12,1177.08,distributor
TXN-000000201,CUST-00034,PROD-0113,SITE-004,2024-08-05T12:55:27Z,35,7692.3,distributor
TXN-000000202,CUST-00075,PROD-0012,SITE-005,2026-03-12T20:55:29Z,3,467.31,online
TXN-000000203,CUST-00616,PROD-0115,SITE-014,2025-08-31T17:33:59Z,14,4590.04,field-sales
TXN-000000204,CUST-00640,PROD-0080,SITE-001,2025-03-02T12:36:06Z,30,5823.3,online
TXN-000000205,CUST-00574,PROD-0019,SITE-009,2026-02-21T15:37:16Z,6,334.26,distributor
TXN-000000206,CUST-00240,PROD-0029,SITE-001,2024-11-06T01:19:15Z,5,1144.3,retail
TXN-000000207,CUST-00740,PROD-0014,SITE-015,2025-09-20T16:18:30Z,8,1751.84,online
TXN-000000208,CUST-00479,PROD-0046,SITE-012,2025-06-20T23:52:50Z,32,371.2,distributor
TXN-000000209,CUST-00212,PROD-0120,SITE-004,2026-01-14T00:32:31Z,25,8751.25,retail
TXN-000000210,CUST-00009,PROD-0053,SITE-011,2024-06-05T19:45:33Z,27,9347.4,retail
TXN-000000211,CUST-00540,PROD-0092,SITE-009,2024-08-05T02:49:53Z,6,2176.5,retail
TXN-000000212,CUST-00572,PROD-0031,SITE-011,2025-06-29T00:12:09Z,25,5471.75,distributor
TXN-000000213,CUST-00069,PROD-0094,SITE-003,2025-05-14T09:47:58Z,24,1804.32,retail
TXN-000000214,CUST-00569,PROD-0039,SITE-008,2025-05-17T02:16:34Z,35,8855,online
TXN-000000215,CUST-00255,PROD-0107,SITE-004,2025-02-02T14:25:04Z,35,752.85,distributor
TXN-000000216,CUST-00324,PROD-0074,SITE-002,2025-12-14T13:21:29Z,35,10487.75,online
TXN-000000217,CUST-00572,PROD-0068,SITE-010,2024-11-07T03:15:27Z,24,309.36,distributor
TXN-000000218,CUST-00668,PROD-0098,SITE-004,2025-07-20T01:56:43Z,9,2527.11,retail
TXN-000000219,CUST-00058,PROD-0015,SITE-011,2025-10-13T17:23:45Z,36,7944.48,distributor
TXN-000000220,CUST-00161,PROD-0057,SITE-011,2024-09-04T12:00:05Z,36,10720.8,retail
TXN-000000221,CUST-00069,PROD-0074,SITE-011,2026-04-04T07:47:20Z,21,3946.53,field-sales
TXN-000000222,CUST-00715,PROD-0035,SITE-014,2024-07-14T00:23:43Z,2,445.3,field-sales
TXN-000000223,CUST-00323,PROD-0112,SITE-009,2025-09-28T01:18:37Z,18,3568.86,field-sales
TXN-000000224,CUST-00740,PROD-0080,SITE-007,2026-05-24T22:10:13Z,24,2914.32,online
TXN-000000225,CUST-00540,PROD-0085,SITE-013,2025-01-19T17:36:38Z,23,6130.19,distributor
TXN-000000226,CUST-00676,PROD-0110,SITE-007,2024-11-04T10:49:45Z,30,473.7,field-sales
TXN-000000227,CUST-00156,PROD-0097,SITE-010,2025-04-06T00:52:34Z,33,2401.41,distributor
TXN-000000228,CUST-00666,PROD-0022,SITE-009,2026-07-24T07:49:54Z,13,186.81,online
TXN-000000229,CUST-00344,PROD-0002,SITE-005,2026-07-10T21:45:46Z,33,12278.31,online
TXN-000000230,CUST-00729,PROD-0007,SITE-010,2025-02-22T23:53:39Z,1,395.18,retail
TXN-000000231,CUST-00730,PROD-0091,SITE-004,2025-09-04T20:29:33Z,32,10962.88,retail
TXN-000000232,CUST-00612,PROD-0032,SITE-010,2026-08-28T07:27:11Z,39,13663.65,online
TXN-000000233,CUST-00474,PROD-0110,SITE-001,2026-03-23T04:58:23Z,1,36.9,distributor
TXN-000000234,CUST-00282,PROD-0030,SITE-010,2026-05-27T07:55:38Z,3,131.79,field-sales
TXN-000000235,CUST-00424,PROD-0060,SITE-006,2025-11-20T05:20:21Z,31,8716.58,distributor
TXN-000000236,CUST-00110,PROD-0064,SITE-009,2026-07-18T00:07:36Z,33,3384.81,field-sales
TXN-000000237,CUST-00177,PROD-0026,SITE-015,2026-03-20T08:00:15Z,16,3843.52,distributor
TXN-000000238,CUST-00475,PROD-0057,SITE-010,2026-06-09T21:44:16Z,6,1465.92,distributor
TXN-000000239,CUST-00201,PROD-0025,SITE-001,2025-06-07T22:16:39Z,3,979.23,retail
TXN-000000240,CUST-00530,PROD-0015,SITE-013,2025-08-15T13:48:53Z,17,3967.46,online
TXN-000000241,CUST-00017,PROD-0115,SITE-001,2024-09-11T07:57:42Z,9,3526.83,distributor
TXN-000000242,CUST-00271,PROD-0049,SITE-005,2026-06-15T02:58:03Z,27,2334.15,retail
TXN-000000243,CUST-00433,PROD-0071,SITE-012,2026-03-06T11:45:48Z,34,12858.46,online
TXN-000000244,CUST-00626,PROD-0112,SITE-002,2025-06-09T12:44:39Z,2,614.34,field-sales
TXN-000000245,CUST-00729,PROD-0018,SITE-007,2026-06-15T01:42:48Z,7,1291.5,field-sales
TXN-000000246,CUST-00381,PROD-0066,SITE-007,2024-12-05T15:01:39Z,21,6712.23,field-sales
TXN-000000247,CUST-00415,PROD-0025,SITE-005,2025-07-20T19:25:48Z,20,7833.4,retail
TXN-000000248,CUST-00359,PROD-0056,SITE-002,2026-08-17T02:03:01Z,21,7332.78,field-sales
TXN-000000249,CUST-00382,PROD-0007,SITE-009,2026-06-20T23:32:41Z,10,3140.1,online
TXN-000000250,CUST-00197,PROD-0044,SITE-001,2024-11-05T13:15:29Z,2,679.06,retail
TXN-000000251,CUST-00499,PROD-0063,SITE-015,2024-10-18T17:16:28Z,14,4079.6,field-sales
TXN-000000252,CUST-00095,PROD-0107,SITE-005,2025-12-12T03:52:52Z,21,6940.08,online
TXN-000000253,CUST-00670,PROD-0064,SITE-002,2025-06-16T19:53:15Z,30,6276.6,field-sales
TXN-000000254,CUST-00540,PROD-0096,SITE-013,2024-08-20T12:49:51Z,23,2781.16,retail
TXN-000000255,CUST-00573,PROD-0097,SITE-014,2025-11-19T05:33:07Z,5,1888.8,distributor
TXN-000000256,CUST-00437,PROD-0056,SITE-013,2026-05-14T15:53:09Z,18,1829.16,retail
TXN-000000257,CUST-00447,PROD-0048,SITE-014,2024-11-20T10:07:22Z,32,8887.36,online
TXN-000000258,CUST-00431,PROD-0100,SITE-002,2026-01-11T09:31:41Z,28,4457.04,retail
TXN-000000259,CUST-00559,PROD-0023,SITE-001,2025-05-28T16:42:18Z,31,8330.01,retail
TXN-000000260,CUST-00782,PROD-0057,SITE-011,2025-01-18T13:55:23Z,21,3340.89,field-sales
TXN-000000261,CUST-00074,PROD-0012,SITE-008,2026-02-18T02:56:10Z,4,829.72,retail
TXN-000000262,CUST-00395,PROD-0065,SITE-001,2026-02-20T13:23:43Z,31,6540.07,online
