product_id,name,category,unit_price,unit_cost
PROD-0077,Summit electrical 0077,power-tools,621.5,528.94
PROD-0078,Harborview storage 0078,power-tools,655.78,549.23
PROD-0079,Cascade power-tools 0079,power-tools,510.99,308.38
PROD-0080,Highland safety 0080,electrical,735.58,490.06
PROD-0081,Granite power-tools 0081,safety,995.55,649.41
PROD-0082,Meridian safety 0082,power-tools,971.41,735.36
PROD-0083,Summit power-tools 0083,material-handling,754.78,482.29
PROD-0084,Copper Creek power-tools 0084,material-handling,162.39,109.06
PROD-0085,Granite outdoor 0085,outdoor,1218.03,731.55
PROD-0086,Copper Creek fasteners 0086,material-handling,315.11,258.71
PROD-0087,Granite safety 0087,safety,967.51,655.05
PROD-0088,Northwind storage 0088,storage,388.14,237.54
PROD-0089,Summit fasteners 0089,outdoor,565.32,351.13
PROD-0090,Harborview fasteners 0090,fasteners,201.87,141.27
PROD-0091,Granite electrical 0091,safety,55.46,33.92
PROD-0092,Summit storage 0092,power-tools,765.93,503.24
PROD-0093,Ironwood electrical 0093,power-tools,223.86,157.98
PROD-0094,Redwood electrical 0094,electrical,576.59,344.03
PROD-0095,Northwind electrical 0095,outdoor,727.91,593.73
PROD-0096,Summit electrical 0096,fasteners,875.66,688.41
PROD-0097,Copper Creek fasteners 0097,safety,407.22,327.35
PROD-0098,Summit storage 0098,material-handling,234.18,144.29
PROD-0099,Coastal fasteners 0099,fasteners,426.53,280.24
PROD-0100,Anchor fasteners 0100,outdoor,336.46,200.87
PROD-0101,Anchor outdoor 0101,storage,1262.89,794.77
PROD-0102,Silverline outdoor 0102,storage,185.51,107.42
PROD-0103,Anchor material-handling 0103,material-handling,344.06,206.89
PROD-0104,Northwind electrical 0104,safety,859.07,590.83
PROD-0105,Cascade material-handling 0105,power-tools,534.27,343.8
PROD-0106,Highland outdoor 0106,material-handling,517.91,384.49
PROD-0107,Anchor material-handling 0107,safety,40.84,27.86
PROD-0108,Timberline material-handling 0108,outdoor,322.82,195.53
PROD-0109,Cascade safety 0109,storage,220.2,162.63
PROD-0110,Redwood outdoor 0110,electrical,481.15,352.23
PROD-0111,Cascade electrical 0111,fasteners,628.36,404.87
PROD-0112,Copper Creek electrical 0112,fasteners,914.75,577.86
PROD-0113,Summit storage 0113,outdoor,1266.03,802.81
PROD-0114,Copper Creek storage 0114,outdoor,30.05,23.03
PROD-0115,Redwood storage 0115,electrical,456.47,299.52
PROD-0116,Blue Ridge fasteners 0116,fasteners,226.74,155.73
PROD-0117,Northwind storage 0117,electrical,571.32,454.51
PROD-0118,Summit material-handling 0118,material-handling,656.81,439.34
PROD-0119,Granite material-handling 0119,electrical,8.48,5.99
PROD-0120,Granite safety 0120,storage,785.18,588.15
