shipment_id,origin_site_id,dest_site_id,customer_id,ship_date,units,weight_kg
SHIP-000031,SITE-001,SITE-005,CUST-00102,2025-03-08,226,2382.04
SHIP-000032,SITE-006,SITE-007,CUST-00063,2026-04-01,332,235.72
SHIP-000033,SITE-010,SITE-015,CUST-00037,2026-03-15,277,662.03
SHIP-000034,SITE-001,SITE-014,CUST-00261,2026-05-29,199,1830.8
SHIP-000035,SITE-006,SITE-009,CUST-00385,2024-04-22,11,121.33
SHIP-000036,SITE-005,SITE-002,CUST-00130,2026-05-19,169,976.82
SHIP-000037,SITE-009,SITE-012,CUST-00796,2024-12-02,318,2855.64
SHIP-000038,SITE-013,SITE-009,CUST-00593,2025-05-19,39,122.85
SHIP-000039,SITE-014,SITE-007,CUST-00465,2026-03-22,338,1341.86
SHIP-000040,SITE-015,SITE-001,CUST-00356,2025-09-28,154,97.02
SHIP-000041,SITE-005,SITE-002,CUST-00405,2025-02-28,182,1958.32
SHIP-000042,SITE-009,SITE-013,CUST-00440,2025-10-18,264,3138.96
SHIP-000043,SITE-004,SITE-013,CUST-00420,2024-09-15,19,47.5
SHIP-000044,SITE-012,SITE-010,CUST-00330,2025-04-21,317,2615.25
SHIP-000045,SITE-011,SITE-014,CUST-00721,2024-04-05,64,326.4
SHIP-000046,SITE-005,SITE-004,CUST-00188,2025-09-18,99,957.33
SHIP-000047,SITE-004,SITE-006,CUST-00181,2025-03-12,376,3726.16
SHIP-000048,SITE-015,SITE-004,CUST-00652,2024-06-07,67,720.92
SHIP-000049,SITE-003,SITE-005,CUST-00243,2025-05-27,171,1203.84
SHIP-000050,SITE-003,SITE-002,CUST-00566,2025-01-23,306,198.9
SHIP-000051,SITE-006,SITE-014,CUST-00160,2026-08-04,377,1232.79
SHIP-000052,SITE-005,SITE-003,CUST-00005,2025-01-17,89,791.21
SHIP-000053,SITE-009,SITE-005,CUST-00213,2024-12-19,268,2114.52
SHIP-000054,SITE-002,SITE-008,CUST-00607,2025-08-25,19,21.66
SHIP-000055,SITE-003,SITE-015,CUST-00743,2024-12-28,212,1700.24
SHIP-000056,SITE-005,SITE-006,CUST-00466,2026-07-05,37,422.17
SHIP-000057,SITE-005,SITE-012,CUST-00676,2025-02-04,311,3644.92
SHIP-000058,SITE-011,SITE-001,CUST-00322,2026-08-17,362,220.82
SHIP-000059,SITE-002,SITE-015,CUST-00398,2024-04-16,156,970.32
SHIP-000060,SITE-010,SITE-012,CUST-00779,2025-02-28,172,1007.92
SHIP-000061,SITE-011,SITE-008,CUST-00493,2024-12-02,248,2566.8
SHIP-000062,SITE-005,SITE-002,CUST-00043,2024-05-01,22,123.42
SHIP-000063,SITE-013,SITE-008,CUST-00057,2026-02-01,78,482.04
SHIP-000064,SITE-010,SITE-004,CUST-00691,2024-12-10,155,392.15
SHIP-000065,SITE-010,SITE-002,CUST-00253,2025-03-23,150,1470
SHIP-000066,SITE-007,SITE-002,CUST-00199,2025-05-13,194,2054.46
SHIP-000067,SITE-008,SITE-013,CUST-00504,2025-01-08,337,980.67
SHIP-000068,SITE-010,SITE-009,CUST-00046,2025-08-14,396,4201.56
SHIP-000069,SITE-007,SITE-004,CUST-00063,2025-07-28,241,2699.2
SHIP-000070,SITE-006,SITE-004,CUST-00757,2025-08-30,49,464.52
SHIP-000071,SITE-005,SITE-004,CUST-00687,2024-04-19,101,791.84
SHIP-000072,SITE-009,SITE-013,CUST-00180,2024-12-28,322,1271.9
SHIP-000073,SITE-003,SITE-012,CUST-00490,2025-02-01,376,714.4
SHIP-000074,SITE-008,SITE-015,CUST-00021,2025-04-06,234,2695.68
SHIP-000075,SITE-011,SITE-002,CUST-00692,2024-04-23,146,312.44
SHIP-000076,SITE-004,SITE-014,CUST-00595,2024-10-20,20,198.4
SHIP-000077,SITE-012,SITE-007,CUST-00710,2026-06-07,261,2095.83
SHIP-000078,SITE-002,SITE-003,CUST-00491,2025-03-22,266,3101.56
SHIP-000079,SITE-009,SITE-002,CUST-00480,2024-05-16,285,2371.2
SHIP-000080,SITE-001,SITE-007,CUST-00576,2025-04-29,149,1406.56
SHIP-000081,SITE-003,SITE-011,CUST-00178,2025-03-28,23,181.01
SHIP-000082,SITE-010,SITE-014,CUST-00337,2025-09-19,17,172.55
SHIP-000083,SITE-005,SITE-008,CUST-00214,2025-07-23,188,1654.4
SHIP-000084,SITE-011,SITE-010,CUST-00654,2025-12-17,287,3409.56
SHIP-000085,SITE-013,SITE-005,CUST-00217,2026-04-29,245,269.5
SHIP-000086,SITE-010,SITE-007,CUST-00480,2024-11-22,366,1679.94
SHIP-000087,SITE-006,SITE-007,CUST-00395,2024-09-02,169,292.37
SHIP-000088,SITE-002,SITE-001,CUST-00008,2026-03-19,312,783.12
SHIP-000089,SITE-002,SITE-011,CUST-00509,2024-05-05,361,758.1
SHIP-000090,SITE-012,SITE-007,CUST-00408,2024-10-09,20,124.4
SHIP-000091,SITE-004,SITE-010,CUST-00113,2025-06-20,147,120.54
SHIP-000092,SITE-008,SITE-010,CUST-00225,2024-10-20,371,3001.39
SHIP-000093,SITE-009,SITE-014,CUST-00403,2025-02-22,168,572.88
SHIP-000094,SITE-010,SITE-011,CUST-00770,2025-08-13,361,797.81
SHIP-000095,SITE-014,SITE-005,CUST-00447,2025-07-01,260,2137.2
SHIP-000096,SITE-007,SITE-003,CUST-00292,2025-10-21,296,1693.12
SHIP-000097,SITE-005,SITE-006,CUST-00737,2024-09-25,335,1407
SHIP-000098,SITE-003,SITE-001,CUST-00381,2024-05-04,122,461.16
SHIP-000099,SITE-010,SITE-001,CUST-00080,2025-06-17,72,596.16
SHIP-000100,SITE-006,SITE-008,CUST-00331,2025-05-15,343,3333.96
SHIP-000101,SITE-004,SITE-011,CUST-00783,2025-02-17,398,3195.94
SHIP-000102,SITE-015,SITE-012,CUST-00760,2024-07-08,109,1136.87
SHIP-000103,SITE-005,SITE-010,CUST-00570,2025-01-11,182,1550.64
SHIP-000104,SITE-006,SITE-015,CUST-00409,2024-09-30,259,419.58
SHIP-000105,SITE-009,SITE-004,CUST-00103,2026-05-23,172,562.44
SHIP-000106,SITE-015,SITE-001,CUST-00061,2025-11-13,167,1574.81
SHIP-000107,SITE-010,SITE-005,CUST-00553,2024-07-25,176,582.56
SHIP-000108,SITE-003,SITE-010,CUST-00251,2024-09-19,201,1754.73
SHIP-000109,SITE-008,SITE-003,CUST-00013,2026-04-05,293,1793.16
SHIP-000110,SITE-014,SITE-001,CUST-00164,2026-02-14,123,1280.43
SHIP-000111,SITE-004,SITE-012,CUST-00783,2024-05-19,327,1383.21
SHIP-000112,SITE-006,SITE-010,CUST-00774,2025-01-06,34,244.12
SHIP-000113,SITE-012,SITE-004,CUST-00029,2024-03-26,192,639.36
SHIP-000114,SITE-014,SITE-007,CUST-00416,2026-01-07,49,267.54
SHIP-000115,SITE-004,SITE-005,CUST-00579,2024-07-12,267,2029.2
SHIP-000116,SITE-004,SITE-005,CUST-00753,2026-01-27,36,288.36
SHIP-000117,SITE-007,SITE-013,CUST-00014,2024-03-19,388,4291.28
SHIP-000118,SITE-008,SITE-005,CUST-00748,2024-12-22,186,1621.92
SHIP-000119,SITE-015,SITE-006,CUST-00604,2025-02-09,94,313.96
SHIP-000120,SITE-011,SITE-010,CUST-00047,2025-09-12,244,2335.08
SHIP-000121,SITE-010,SITE-005,CUST-00150,2025-07-02,301,1742.79
SHIP-000122,SITE-006,SITE-003,CUST-00648,2024-12-19,359,1712.43
SHIP-000123,SITE-009,SITE-011,CUST-00744,2024-09-29,116,1097.36
SHIP-000124,SITE-010,SITE-013,CUST-00562,2026-07-09,60,335.4
SHIP-000125,SITE-011,SITE-005,CUST-00038,2025-03-17,75,648
SHIP-000126,SITE-008,SITE-006,CUST-00418,2025-02-11,129,1046.19
SHIP-000127,SITE-014,SITE-004,CUST-00042,2025-02-11,296,2465.68
SHIP-000128,SITE-013,SITE-015,CUST-00155,2024-05-01,393,4609.89
SHIP-000129,SITE-004,SITE-002,CUST-00344,2024-06-07,368,434.24
SHIP-000130,SITE-015,SITE-006,CUST-00192,2025-04-16,306,1098.54
SHIP-000131,SITE-014,SITE-013,CUST-00452,2026-07-25,105,538.65
SHIP-000132,SITE-014,SITE-007,CUST-00636,2025-02-21,154,1635.48
SHIP-000133,SITE-007,SITE-014,CUST-00113,2026-06-10,233,1025.2
SHIP-000134,SITE-011,SITE-006,CUST-00503,2025-09-11,291,3349.41
SHIP-000135,SITE-001,SITE-003,CUST-00462,2024-10-29,96,723.84
SHIP-000136,SITE-001,SITE-004,CUST-00456,2024-09-06,91,560.56
SHIP-000137,SITE-004,SITE-013,CUST-00644,2024-05-23,36,129.96
SHIP-000138,SITE-001,SITE-007,CUST-00671,2025-05-14,23,43.24
SHIP-000139,SITE-014,SITE-001,CUST-00296,2025-05-01,382,672.32
SHIP-000140,SITE-011,SITE-010,CUST-00605,2026-04-25,278,1095.32
SHIP-000141,SITE-012,SITE-005,CUST-00418,2025-09-22,20,214.4
SHIP-000142,SITE-004,SITE-002,CUST-00536,2026-08-21,84,665.28
SHIP-000143,SITE-011,SITE-015,CUST-00131,2025-12-07,137,1385.07
SHIP-000144,SITE-005,SITE-006,CUST-00781,2025-02-03,372,1514.04
SHIP-000145,SITE-003,SITE-011,CUST-00206,2025-08-07,377,1081.99
SHIP-000146,SITE-004,SITE-006,CUST-00277,2025-11-11,242,2086.04
SHIP-000147,SITE-005,SITE-001,CUST-00704,2024-08-15,91,115.57
SHIP-000148,SITE-007,SITE-005,CUST-00254,2026-03-31,334,828.32
SHIP-000149,SITE-002,SITE-011,CUST-00560,2024-07-16,52,594.88
SHIP-000150,SITE-012,SITE-011,CUST-00403,2024-12-27,68,99.28
SHIP-000151,SITE-010,SITE-006,CUST-00222,2024-07-03,231,1831.83
SHIP-000152,SITE-010,SITE-015,CUST-00533,2025-12-03,46,265.88
SHIP-000153,SITE-006,SITE-013,CUST-00204,2025-01-28,19,213.75
SHIP-000154,SITE-004,SITE-008,CUST-00743,2026-08-13,363,3212.55
SHIP-000155,SITE-002,SITE-008,CUST-00207,2024-12-05,276,2627.52
SHIP-000156,SITE-014,SITE-010,CUST-00659,2024-06-25,97,955.45
SHIP-000157,SITE-003,SITE-008,CUST-00485,2026-07-31,41,269.37
SHIP-000158,SITE-004,SITE-007,CUST-00337,2025-06-07,64,659.2
SHIP-000159,SITE-008,SITE-007,CUST-00205,2026-06-02,341,2543.86
SHIP-000160,SITE-008,SITE-014,CUST-00570,2024-07-10,198,338.58
SHIP-000161,SITE-015,SITE-014,CUST-00496,2025-05-08,310,2123.5
SHIP-000162,SITE-007,SITE-015,CUST-00688,2025-02-10,35,73.85
SHIP-000163,SITE-004,SITE-007,CUST-00360,2024-04-03,319,3336.74
SHIP-000164,SITE-001,SITE-007,CUST-00436,2025-08-06,13,104.78
SHIP-000165,SITE-003,SITE-004,CUST-00645,2024-06-15,397,678.87
SHIP-000166,SITE-010,SITE-009,CUST-00553,2024-04-12,317,922.47
SHIP-000167,SITE-014,SITE-005,CUST-00449,2025-05-18,137,393.19
SHIP-000168,SITE-001,SITE-009,CUST-00323,2024-07-29,175,1776.25
SHIP-000169,SITE-009,SITE-008,CUST-00538,2025-02-16,161,1136.66
SHIP-000170,SITE-008,SITE-002,CUST-00562,2024-04-28,161,679.42
SHIP-000171,SITE-004,SITE-012,CUST-00325,2024-11-04,247,1020.11
SHIP-000172,SITE-014,SITE-010,CUST-00044,2025-11-30,121,145.2
SHIP-000173,SITE-006,SITE-007,CUST-00626,2025-12-03,15,97.95
SHIP-000174,SITE-012,SITE-008,CUST-00300,2024-08-15,137,819.26
SHIP-000175,SITE-013,SITE-002,CUST-00339,2025-06-09,182,336.7
SHIP-000176,SITE-014,SITE-004,CUST-00725,2024-10-15,389,3582.69
SHIP-000177,SITE-013,SITE-003,CUST-00511,2025-03-16,10,32.7
SHIP-000178,SITE-009,SITE-012,CUST-00614,2025-10-05,201,787.92
SHIP-000179,SITE-006,SITE-014,CUST-00254,2025-09-24,192,1979.52
SHIP-000180,SITE-002,SITE-014,CUST-00059,2026-03-15,236,1524.56
SHIP-000181,SITE-015,SITE-011,CUST-00355,2025-04-13,218,1203.36
SHIP-000182,SITE-014,SITE-003,CUST-00270,2024-09-10,370,2878.6
SHIP-000183,SITE-004,SITE-011,CUST-00329,2025-05-09,103,1196.86
SHIP-000184,SITE-015,SITE-011,CUST-00217,2026-03-31,85,673.2
SHIP-000185,SITE-015,SITE-005,CUST-00252,2024-11-29,44,158.84
SHIP-000186,SITE-014,SITE-015,CUST-00325,2025-07-09,76,182.4
SHIP-000187,SITE-014,SITE-003,CUST-00444,2024-07-18,268,356.44
SHIP-000188,SITE-004,SITE-007,CUST-00315,2024-10-08,260,1461.2
SHIP-000189,SITE-006,SITE-015,CUST-00790,2026-03-02,167,146.96
SHIP-000190,SITE-015,SITE-014,CUST-00397,2024-10-31,55,388.3
SHIP-000191,SITE-013,SITE-014,CUST-00754,2024-11-03,64,686.72
SHIP-000192,SITE-003,SITE-005,CUST-00188,2025-07-16,144,381.6
SHIP-000193,SITE-001,SITE-005,CUST-00626,2026-01-16,234,1967.94
SHIP-000194,SITE-015,SITE-011,CUST-00476,2026-03-01,178,1988.26
SHIP-000195,SITE-010,SITE-009,CUST-00280,2024-08-16,28,192.08
SHIP-000196,SITE-010,SITE-001,CUST-00363,2025-07-26,98,556.64
SHIP-000197,SITE-010,SITE-001,CUST-00449,2025-05-10,303,1475.61
SHIP-000198,SITE-006,SITE-010,CUST-00720,2026-06-06,382,2826.8
SHIP-000199,SITE-002,SITE-003,CUST-00079,2026-06-09,298,628.78
SHIP-000200,SITE-015,SITE-008,CUST-00277,2024-08-06,158,1161.3
SHIP-000201,SITE-013,SITE-001,CUST-00578,2025-11-27,149,1095.15
SHIP-000202,SITE-004,SITE-005,CUST-00357,2025-03-22,194,1621.84
SHIP-000203,SITE-013,SITE-014,CUST-00327,2024-04-29,19,140.79
SHIP-000204,SITE-010,SITE-004,CUST-00273,2024-12-19,78,46.02
SHIP-000205,SITE-009,SITE-011,CUST-00626,2024-03-27,13,74.75
SHIP-000206,SITE-006,SITE-013,CUST-00517,2025-12-20,141,720.51
SHIP-000207,SITE-011,SITE-004,CUST-00326,2025-02-12,184,2073.68
SHIP-000208,SITE-009,SITE-012,CUST-00791,2024-03-17,71,416.06
SHIP-000209,SITE-007,SITE-003,CUST-00058,2026-07-04,277,2487.46
SHIP-000210,SITE-009,SITE-013,CUST-00123,2024-09-04,383,1780.95
SHIP-000211,SITE-005,SITE-008,CUST-00702,2024-06-23,181,823.55
SHIP-000212,SITE-006,SITE-007,CUST-00331,2025-06-01,22,238.26
SHIP-000213,SITE-003,SITE-007,CUST-00185,2026-08-18,351,273.78
SHIP-000214,SITE-003,SITE-008,CUST-00667,2024-10-03,214,1992.34
SHIP-000215,SITE-003,SITE-005,CUST-00781,2026-04-25,176,1490.72
SHIP-000216,SITE-002,SITE-013,CUST-00737,2025-01-23,309,2583.24
SHIP-000217,SITE-012,SITE-002,CUST-00705,2025-01-27,206,2467.88
SHIP-000218,SITE-014,SITE-008,CUST-00327,2024-11-05,392,1101.52
SHIP-000219,SITE-004,SITE-007,CUST-00228,2026-03-02,350,2429
SHIP-000220,SITE-015,SITE-007,CUST-00685,2025-06-10,13,46.67
SHIP-000221,SITE-012,SITE-010,CUST-00638,2025-01-11,346,1567.38
SHIP-000222,SITE-010,SITE-011,CUST-00388,2025-06-19,324,3664.44
SHIP-000223,SITE-010,SITE-006,CUST-00217,2025-06-07,370,4021.9
SHIP-000224,SITE-003,SITE-006,CUST-00316,2024-11-04,29,322.77
SHIP-000225,SITE-004,SITE-011,CUST-00710,2024-07-16,74,572.02
SHIP-000226,SITE-007,SITE-009,CUST-00494,2025-04-24,21,232.68
SHIP-000227,SITE-012,SITE-011,CUST-00240,2024-10-15,50,371
SHIP-000228,SITE-012,SITE-005,CUST-00169,2025-01-14,112,215.04
SHIP-000229,SITE-015,SITE-014,CUST-00078,2025-09-30,41,228.37
SHIP-000230,SITE-006,SITE-012,CUST-00268,2025-06-28,250,2035
SHIP-000231,SITE-013,SITE-011,CUST-00732,2025-03-01,54,99.9
SHIP-000232,SITE-008,SITE-010,CUST-00700,2026-08-05,368,1906.24
SHIP-000233,SITE-005,SITE-011,CUST-00106,2024-08-24,145,1102
SHIP-000234,SITE-004,SITE-015,CUST-00084,2025-05-01,259,2465.68
SHIP-000235,SITE-015,SITE-008,CUST-00059,2025-12-10,209,794.2
SHIP-000236,SITE-004,SITE-002,CUST-00087,2025-12-29,215,683.7
SHIP-000237,SITE-013,SITE-009,CUST-00011,2026-03-20,337,2079.29
SHIP-000238,SITE-013,SITE-009,CUST-00694,2024-11-15,255,186.15
SHIP-000239,SITE-009,SITE-001,CUST-00362,2026-08-09,123,1125.45
SHIP-000240,SITE-001,SITE-014,CUST-00471,2024-04-07,219,2144.01
SHIP-000241,SITE-002,SITE-010,CUST-00106,2025-03-19,299,3393.65
SHIP-000242,SITE-003,SITE-012,CUST-00382,2025-06-24,119,659.26
SHIP-000243,SITE-005,SITE-002,CUST-00085,2024-04-02,27,15.93
SHIP-000244,SITE-015,SITE-013,CUST-00201,2026-05-22,39,261.69
SHIP-000245,SITE-004,SITE-006,CUST-00133,2026-08-26,282,1257.72
SHIP-000246,SITE-010,SITE-011,CUST-00647,2024-05-17,349,2907.17
SHIP-000247,SITE-009,SITE-012,CUST-00028,2025-09-14,148,232.36
SHIP-000248,SITE-009,SITE-012,CUST-00719,2024-05-07,242,1558.48
SHIP-000249,SITE-008,SITE-011,CUST-00457,2024-06-05,25,285.25
SHIP-000250,SITE-013,SITE-014,CUST-00424,2024-08-30,6,32.22
SHIP-000251,SITE-006,SITE-005,CUST-00415,2024-12-18,65,625.3
SHIP-000252,SITE-007,SITE-009,CUST-00461,2024-09-16,15,93.3
SHIP-000253,SITE-011,SITE-015,CUST-00415,2026-03-02,211,126.6
SHIP-000254,SITE-005,SITE-015,CUST-00143,2024-10-16,97,1143.63
SHIP-000255,SITE-010,SITE-002,CUST-00088,2026-01-02,288,921.6
SHIP-000256,SITE-012,SITE-009,CUST-00186,2024-11-20,352,3389.76
SHIP-000257,SITE-010,SITE-001,CUST-00203,2026-08-09,38,306.28
SHIP-000258,SITE-010,SITE-006,CUST-00410,2026-01-31,215,950.3
SHIP-000259,SITE-012,SITE-011,CUST-00381,2026-05-25,62,66.96
SHIP-000260,SITE-014,SITE-011,CUST-00108,2026-02-25,35,191.45
SHIP-000261,SITE-007,SITE-012,CUST-00085,2024-08-16,199,278.6
SHIP-000262,SITE-015,SITE-004,CUST-00561,2025-02-18,64,449.92
SHIP-000263,SITE-013,SITE-006,CUST-00542,2024-06-11,274,1693.32
SHIP-000264,SITE-001,SITE-004,CUST-00720,2026-08-27,167,1314.29
SHIP-000265,SITE-006,SITE-014,CUST-00574,2026-08-19,376,2868.88
SHIP-000266,SITE-012,SITE-007,CUST-00305,2024-10-05,154,280.28
SHIP-000267,SITE-009,SITE-006,CUST-00025,2026-06-26,29,173.42
SHIP-000268,SITE-004,SITE-013,CUST-00648,2025-11-23,379,428.27
SHIP-000269,SITE-001,SITE-008,CUST-00571,2025-06-21,212,2198.44
SHIP-000270,SITE-013,SITE-006,CUST-00099,2026-02-27,335,2529.25
SHIP-000271,SITE-009,SITE-005,CUST-00465,2025-07-01,128,508.16
SHIP-000272,SITE-011,SITE-003,CUST-00536,2024-06-23,303,733.26
SHIP-000273,SITE-012,SITE-013,CUST-00216,2024-06-22,83,843.28
SHIP-000274,SITE-010,SITE-008,CUST-00122,2024-10-09,271,249.32
SHIP-000275,SITE-006,SITE-014,CUST-00098,2024-08-10,289,1872.72
SHIP-000276,SITE-010,SITE-012,CUST-00041,2025-09-26,351,1919.97
SHIP-000277,SITE-005,SITE-010,CUST-00054,2025-07-20,314,3340.96
SHIP-000278,SITE-011,SITE-001,CUST-00070,2024-05-05,39,413.79
SHIP-000279,SITE-001,SITE-010,CUST-00786,2024-09-06,276,2533.68
SHIP-000280,SITE-015,SITE-006,CUST-00301,2025-08-03,361,754.49
SHIP-000281,SITE-001,SITE-007,CUST-00226,2026-04-20,273,1051.05
SHIP-000282,SITE-013,SITE-007,CUST-00219,2024-11-22,227,301.91
SHIP-000283,SITE-004,SITE-001,CUST-00298,2024-07-07,289,2748.39
SHIP-000284,SITE-006,SITE-010,CUST-00353,2024-03-21,85,572.9
SHIP-000285,SITE-002,SITE-006,CUST-00380,2024-05-22,267,1917.06
SHIP-000286,SITE-002,SITE-010,CUST-00432,2024-06-06,87,322.77
SHIP-000287,SITE-014,SITE-001,CUST-00162,2026-08-22,381,2693.67
SHIP-000288,SITE-003,SITE-001,CUST-00283,2025-05-08,186,1705.62
SHIP-000289,SITE-011,SITE-010,CUST-00561,2026-07-12,78,671.58
SHIP-000290,SITE-015,SITE-004,CUST-00025,2025-10-18,211,255.31
SHIP-000291,SITE-015,SITE-003,CUST-00460,2025-02-21,134,667.32
SHIP-000292,SITE-013,SITE-005,CUST-00437,2025-11-19,195,1542.45
SHIP-000293,SITE-012,SITE-001,CUST-00381,2025-10-07,233,1884.97
SHIP-000294,SITE-014,SITE-013,CUST-00122,2025-12-31,306,263.16
SHIP-000295,SITE-005,SITE-001,CUST-00639,2024-06-23,339,1759.41
SHIP-000296,SITE-006,SITE-007,CUST-00334,2024-08-09,261,1954.89
SHIP-000297,SITE-010,SITE-009,CUST-00380,2024-09-05,204,2099.16
SHIP-000298,SITE-003,SITE-002,CUST-00727,2025-10-14,13,32.76
SHIP-000299,SITE-014,SITE-005,CUST-00163,2025-01-19,103,430.54
SHIP-000300,SITE-013,SITE-011,CUST-00555,2025-07-10,196,938.84
SHIP-000301,SITE-010,SITE-004,CUST-00751,2025-07-20,242,1611.72
SHIP-000302,SITE-002,SITE-007,CUST-00339,2025-04-11,84,615.72
SHIP-000303,SITE-013,SITE-007,CUST-00646,2026-04-23,390,1361.1
SHIP-000304,SITE-006,SITE-015,CUST-00663,2025-07-24,47,123.14
SHIP-000305,SITE-002,SITE-001,CUST-00639,2025-02-28,317,1185.58
SHIP-000306,SITE-003,SITE-011,CUST-00179,2025-04-23,393,2200.8
SHIP-000307,SITE-014,SITE-006,CUST-00001,2025-01-27,348,3709.68
SHIP-000308,SITE-009,SITE-015,CUST-00580,2025-06-29,255,1545.3
SHIP-000309,SITE-008,SITE-006,CUST-00276,2025-08-31,225,2601
SHIP-000310,SITE-005,SITE-014,CUST-00122,2025-10-22,226,1498.38
SHIP-000311,SITE-002,SITE-010,CUST-00696,2026-01-19,396,966.24
SHIP-000312,SITE-009,SITE-010,CUST-00503,2026-07-21,272,554.88
SHIP-000313,SITE-012,SITE-006,CUST-00426,2026-03-23,180,360
SHIP-000314,SITE-006,SITE-012,CUST-00066,2025-06-17,385,673.75
SHIP-000315,SITE-006,SITE-002,CUST-00251,2024-04-01,345,3067.05
SHIP-000316,SITE-006,SITE-007,CUST-00550,2026-03-29,253,571.78
SHIP-000317,SITE-009,SITE-007,CUST-00577,2025-07-28,340,452.2
SHIP-000318,SITE-007,SITE-004,CUST-00537,2024-05-19,104,665.6
SHIP-000319,SITE-003,SITE-013,CUST-00735,2026-07-15,106,1139.5
SHIP-000320,SITE-013,SITE-001,CUST-00290,2025-10-11,238,2318.12
SHIP-000321,SITE-002,SITE-009,CUST-00439,2024-05-15,8,47.84
SHIP-000322,SITE-007,SITE-014,CUST-00737,2025-02-19,53,589.36
SHIP-000323,SITE-015,SITE-011,CUST-00567,2026-05-07,45,513.45
SHIP-000324,SITE-004,SITE-005,CUST-00107,2025-09-19,379,4169
SHIP-000325,SITE-011,SITE-001,CUST-00617,2024-06-25,320,1174.4
SHIP-000326,SITE-001,SITE-011,CUST-00369,2025-09-26,192,1182.72
SHIP-000327,SITE-010,SITE-002,CUST-00656,2026-02-08,37,391.46
SHIP-000328,SITE-001,SITE-011,CUST-00600,2026-08-05,288,3265.92
SHIP-000329,SITE-012,SITE-014,CUST-00397,2024-10-05,185,105.45
SHIP-000330,SITE-001,SITE-013,CUST-00320,2026-02-16,288,449.28
SHIP-000331,SITE-007,SITE-006,CUST-00105,2025-08-22,168,1004.64
SHIP-000332,SITE-012,SITE-003,CUST-00572,2025-05-18,385,2979.9
SHIP-000333,SITE-006,SITE-004,CUST-00519,2024-08-06,276,2310.12
SHIP-000334,SITE-011,SITE-008,CUST-00603,2024-12-06,71,180.34
SHIP-000335,SITE-003,SITE-002,CUST-00482,2026-07-25,216,775.44
SHIP-000336,SITE-011,SITE-009,CUST-00683,2025-02-19,228,2419.08
SHIP-000337,SITE-006,SITE-014,CUST-00753,2025-03-10,390,1957.8
SHIP-000338,SITE-006,SITE-004,CUST-00056,2024-05-20,379,2198.2
SHIP-000339,SITE-009,SITE-008,CUST-00673,2024-07-23,9,81.09
SHIP-000340,SITE-005,SITE-002,CUST-00454,2024-06-05,98,482.16
SHIP-000341,SITE-006,SITE-002,CUST-00338,2024-10-23,271,214.09
SHIP-000342,SITE-010,SITE-009,CUST-00295,2024-07-23,351,3443.31
SHIP-000343,SITE-009,SITE-012,CUST-00299,2024-07-10,345,3067.05
SHIP-000344,SITE-002,SITE-003,CUST-00202,2024-10-13,174,1160.58
